year,state,n,percent
2020,KS,125484,0.148674328861303
2021,KS,161030,0.19078948054362
2022,KS,169772,0.201147063844324
2023,CA,1197765,1.41912042577985
2019,LA,599312,0.710069087521318
2020,LA,232177,0.275084948296442
2021,LA,270112,0.32003060404023
2019,NM,214543,0.25419206063634
2023,FL,1566616,1.85613769391619
2024,FL,536471,0.635614627191929
2018,NJ,111376,0.131959070887575
2019,NJ,369052,0.43725541435499
2020,AL,237647,0.281565842903494
2017,AZ,1505,0.0017831346222328
2018,AZ,169298,0.20058546529885
2022,LA,316426,0.374903758122682
2023,LA,351780,0.41679142684987
2022,HI,55534,0.0657970751568613
2023,GA,728309,0.862905643577241
2024,GA,228374,0.270579127055012
2021,CO,187499,0.222150138560816
2022,CO,209963,0.248765644310874
2021,GA,557915,0.661021629742866
2021,SC,298482,0.353643580274612
2022,SC,349015,0.413515435334605
2023,CO,240281,0.284686624694166
2024,CO,73611,0.0872148323436403
2017,HI,365,0.000432454576156128
2018,HI,30665,0.0363321084324045
2023,VA,415718,0.492545620521844
2024,VA,122184,0.144764465570028
2023,NC,693321,0.821451614233267
2024,NC,201902,0.239214914616642
2020,DE,18170,0.0215279442431694
2021,DE,22328,0.0264543719901754
2024,AR,101043,0.119716459557654
2019,WA,289776,0.343328650027995
2022,NH,50587,0.0599358346411234
2023,NH,54016,0.063998538042875
2024,LA,111465,0.132064518715734
2022,TN,397133,0.47052598134962
2023,TN,466616,0.552849930157994
2024,TN,137481,0.162888459135673
2017,LA,1731,0.00205090101733221
2018,LA,190921,0.226204548313162
2018,CA,657096,0.778531978558594
2022,NY,207906,0.246328496192646
2020,WV,49429,0.0585638280680034
2022,MN,152904,0.181161738390621
2023,OH,333566,0.39521135109615
2023,ME,41132,0.0487334839080927
2024,ME,10604,0.012563694042629
2017,NE,502,0.000594773143096921
2018,NE,50669,0.0600329888198763
2019,NE,148199,0.175587221182909
2017,IA,351,0.00041586727734466
2018,IA,42567,0.0504336820362682
2019,IA,217612,0.257828233497225
2023,MD,146067,0.173061212535334
2024,MD,42440,0.050283211539907
2019,ID,111781,0.13243891774605
2020,ID,45117,0.0534549400340713
2017,NC,1687,0.00199876950678188
2023,NV,174227,0.206425379287544
2024,NV,54333,0.064374121880249
2023,MS,268088,0.317632554554915
2024,MS,81723,0.096825987197828
2023,NE,101305,0.12002687900684
2024,NE,29886,0.0354091437342521
2017,MO,1456,0.00172507907639266
2018,MO,147884,0.175214006959651
2021,IA,110070,0.130411712869877
2022,IA,123465,0.146282203411278
2018,OH,124379,0.147365117062255
2020,PA,207367,0.245689885188405
2018,WA,107404,0.12725301725335
2017,CA,5860,0.00694296935965728
2023,KY,280629,0.332491219868816
2017,IN,1232,0.00145968229540918
2018,IN,187453,0.22209563743615
2022,GA,616782,0.730767666823914
2020,SC,245309,0.290643834581599
2018,KS,67155,0.0795657179774377
2019,KS,306610,0.363273692041727
2021,TN,357313,0.423346964301574
2017,VA,1062,0.00125826509555564
2018,VA,129808,0.15379743457993
