bmi,n,percent
59,305,0.000361366152678408
59.1,334,0.000395725557359306
59.2,316,0.00037439903031599
59.3,299,0.000354257310330636
59.4,284,0.000336485204461206
59.5,262,0.000310419449186042
59.6,262,0.000310419449186042
59.7,309,0.000366105380910256
59.8,285,0.000337670011519168
59.86,1,1.18480705796199e-06
59.9,247,0.000292647343316612
60,252,0.000298571378606422
60.1,249,0.000295016957432536
60.2,251,0.00029738657154846
60.3,245,0.000290277729200688
60.4,220,0.000260657552751639
60.5,240,0.000284353693910878
60.6,213,0.000252363903345905
60.7,227,0.000268951202157373
60.8,217,0.000257103131577753
60.9,228,0.000270136009215335
61,192,0.000227482955128703
61.1,214,0.000253548710403867
61.2,191,0.000226298148070741
61.3,187,0.000221558919838893
61.4,192,0.000227482955128703
61.5,180,0.000213265270433159
61.6,152,0.000180090672810223
61.7,188,0.000222743726896855
61.8,159,0.000188384322215957
61.9,162,0.000191938743389843
62,142,0.000168242602230603
62.1,153,0.000181275479868185
62.2,161,0.000190753936331881
62.3,148,0.000175351444578375
62.4,138,0.000163503373998755
62.5,137,0.000162318566940793
62.6,155,0.000183645093984109
62.7,140,0.000165872988114679
62.8,139,0.000164688181056717
62.9,155,0.000183645093984109
63,130,0.000154024917535059
63.1,134,0.000158764145766907
63.2,117,0.000138622425781553
63.3,125,0.000148100882245249
63.4,116,0.000137437618723591
63.5,129,0.000152840110477097
63.6,122,0.000144546461071363
63.7,106,0.000125589548143971
63.8,108,0.000127959162259895
63.9,126,0.000149285689303211
64,112,0.000132698390491743
64.1,112,0.000132698390491743
64.2,127,0.000150470496361173
64.3,95,0.000112556670506389
64.4,95,0.000112556670506389
64.5,105,0.000124404741086009
64.57,1,1.18480705796199e-06
64.6,96,0.000113741477564351
64.7,85,0.000100708599926769
64.8,98,0.000116111091680275
64.9,88,0.000104263021100655
65,93,0.000110187056390465
65.1,78,9.24149505210355e-05
65.2,87,0.000103078214042693
65.3,92,0.000109002249332503
65.4,90,0.000106632635216579
65.5,87,0.000103078214042693
65.6,89,0.000105447828158617
65.62,1,1.18480705796199e-06
65.7,97,0.000114926284622313
65.8,89,0.000105447828158617
65.9,86,0.000101893406984731
66,72,8.53061081732635e-05
66.1,75,8.88605293471495e-05
66.2,73,8.64909152312255e-05
66.3,61,7.22732305356816e-05
66.4,70,8.29364940573395e-05
66.5,66,7.81972658254916e-05
66.6,60,7.10884234777196e-05
66.7,67,7.93820728834536e-05
66.8,59,6.99036164197576e-05
66.9,57,6.75340023038336e-05
67,49,5.80555458401377e-05
67.1,58,6.87188093617956e-05
67.2,55,6.51643881879096e-05
67.3,54,6.39795811299477e-05
67.4,61,7.22732305356816e-05
67.5,59,6.99036164197576e-05
67.6,50,5.92403528980997e-05
67.7,56,6.63491952458716e-05
67.8,44,5.21315105503277e-05
67.9,47,5.56859317242137e-05
68,44,5.21315105503277e-05
68.1,43,5.09467034923657e-05
68.2,39,4.62074752605177e-05
68.3,42,4.97618964344037e-05
68.4,57,6.75340023038336e-05
68.5,38,4.50226682025558e-05
68.6,43,5.09467034923657e-05
68.7,33,3.90986329127458e-05
68.8,40,4.73922823184797e-05
68.9,39,4.62074752605177e-05
69,41,4.85770893764417e-05
69.1,41,4.85770893764417e-05
69.2,32,3.79138258547838e-05
69.3,26,3.08049835070118e-05
69.4,29,3.43594046808978e-05
69.5,35,4.14682470286698e-05
69.6,38,4.50226682025558e-05
69.7,32,3.79138258547838e-05
69.79,1,1.18480705796199e-06
69.8,30,3.55442117388598e-05
69.9,36,4.26530540866318e-05
70,37,4.38378611445938e-05
70.1,26,3.08049835070118e-05
70.2,30,3.55442117388598e-05
70.3,29,3.43594046808978e-05
70.4,27,3.19897905649738e-05
70.49,1,1.18480705796199e-06
70.5,27,3.19897905649738e-05
70.6,16,1.89569129273919e-05
70.7,25,2.96201764490498e-05
70.8,33,3.90986329127458e-05
70.9,20,2.36961411592399e-05
71,29,3.43594046808978e-05
71.1,26,3.08049835070118e-05
71.11,1,1.18480705796199e-06
71.2,32,3.79138258547838e-05
71.3,26,3.08049835070118e-05
71.4,26,3.08049835070118e-05
71.5,16,1.89569129273919e-05
71.6,20,2.36961411592399e-05
71.7,29,3.43594046808978e-05
71.8,25,2.96201764490498e-05
71.9,19,2.25113341012779e-05
72,30,3.55442117388598e-05
72.1,22,2.60657552751639e-05
72.2,17,2.01417199853539e-05
72.3,17,2.01417199853539e-05
72.4,20,2.36961411592399e-05
72.5,25,2.96201764490498e-05
72.6,18,2.13265270433159e-05
72.7,19,2.25113341012779e-05
72.8,14,1.65872988114679e-05
72.9,23,2.72505623331259e-05
73,17,2.01417199853539e-05
73.1,25,2.96201764490498e-05
73.2,26,3.08049835070118e-05
73.3,22,2.60657552751639e-05
73.4,19,2.25113341012779e-05
73.5,23,2.72505623331259e-05
73.6,23,2.72505623331259e-05
73.7,21,2.48809482172019e-05
73.8,15,1.77721058694299e-05
73.9,21,2.48809482172019e-05
74,13,1.54024917535059e-05
74.1,11,1.30328776375819e-05
74.2,17,2.01417199853539e-05
74.3,14,1.65872988114679e-05
74.4,15,1.77721058694299e-05
74.5,22,2.60657552751639e-05
74.6,13,1.54024917535059e-05
74.7,15,1.77721058694299e-05
74.8,14,1.65872988114679e-05
74.9,15,1.77721058694299e-05
75,11,1.30328776375819e-05
75.1,17,2.01417199853539e-05
75.2,14,1.65872988114679e-05
75.3,20,2.36961411592399e-05
75.4,20,2.36961411592399e-05
75.5,20,2.36961411592399e-05
75.6,11,1.30328776375819e-05
75.7,18,2.13265270433159e-05
75.8,16,1.89569129273919e-05
75.9,25,2.96201764490498e-05
76,15,1.77721058694299e-05
76.1,11,1.30328776375819e-05
76.2,18,2.13265270433159e-05
76.3,14,1.65872988114679e-05
76.4,15,1.77721058694299e-05
76.5,20,2.36961411592399e-05
76.6,11,1.30328776375819e-05
76.7,12,1.42176846955439e-05
76.8,14,1.65872988114679e-05
76.9,8,9.47845646369595e-06
77,13,1.54024917535059e-05
77.1,11,1.30328776375819e-05
77.2,4,4.73922823184797e-06
