bp_map,n,percent
203,76,9.00453364051115e-05
204,70,8.29364940573395e-05
205,73,8.64909152312255e-05
206,47,5.56859317242137e-05
207,48,5.68707387821757e-05
208,30,3.55442117388598e-05
209,33,3.90986329127458e-05
210,28,3.31745976229358e-05
211,28,3.31745976229358e-05
212,20,2.36961411592399e-05
213,23,2.72505623331259e-05
214,24,2.84353693910878e-05
215,9,1.06632635216579e-05
216,15,1.77721058694299e-05
217,2,2.36961411592399e-06
218,5,5.92403528980997e-06
219,7,8.29364940573395e-06
220,6,7.10884234777196e-06
221,2,2.36961411592399e-06
222,1,1.18480705796199e-06
223,2,2.36961411592399e-06
224,7,8.29364940573395e-06
225,5,5.92403528980997e-06
226,5,5.92403528980997e-06
227,1,1.18480705796199e-06
228,2,2.36961411592399e-06
229,1,1.18480705796199e-06
232,1,1.18480705796199e-06
234,1,1.18480705796199e-06
237,1,1.18480705796199e-06
238,1,1.18480705796199e-06
240,1,1.18480705796199e-06
246,1,1.18480705796199e-06
247,2,2.36961411592399e-06
253,1,1.18480705796199e-06
255,3,3.55442117388598e-06
260,1,1.18480705796199e-06
340,1,1.18480705796199e-06
489,1,1.18480705796199e-06
651,1,1.18480705796199e-06
658,1,1.18480705796199e-06
660,2,2.36961411592399e-06
672,1,1.18480705796199e-06
712,1,1.18480705796199e-06
720,1,1.18480705796199e-06
730,1,1.18480705796199e-06
740,3,3.55442117388598e-06
780,2,2.36961411592399e-06
788,1,1.18480705796199e-06
796,1,1.18480705796199e-06
797,2,2.36961411592399e-06
799,1,1.18480705796199e-06
800,1,1.18480705796199e-06
808,1,1.18480705796199e-06
810,3,3.55442117388598e-06
812,1,1.18480705796199e-06
820,1,1.18480705796199e-06
830,1,1.18480705796199e-06
840,1,1.18480705796199e-06
850,1,1.18480705796199e-06
870,5,5.92403528980997e-06
881,1,1.18480705796199e-06
890,2,2.36961411592399e-06
900,3,3.55442117388598e-06
908,1,1.18480705796199e-06
910,4,4.73922823184797e-06
920,4,4.73922823184797e-06
925,1,1.18480705796199e-06
930,4,4.73922823184797e-06
940,1,1.18480705796199e-06
945,1,1.18480705796199e-06
950,1,1.18480705796199e-06
960,3,3.55442117388598e-06
970,1,1.18480705796199e-06
978,1,1.18480705796199e-06
980,3,3.55442117388598e-06
990,9,1.06632635216579e-05
1000,6,7.10884234777196e-06
1007,1,1.18480705796199e-06
1008,1,1.18480705796199e-06
1010,1,1.18480705796199e-06
1020,1,1.18480705796199e-06
1030,1,1.18480705796199e-06
1040,3,3.55442117388598e-06
1050,2,2.36961411592399e-06
1060,4,4.73922823184797e-06
1070,2,2.36961411592399e-06
1080,1,1.18480705796199e-06
1090,1,1.18480705796199e-06
1100,3,3.55442117388598e-06
1120,2,2.36961411592399e-06
1160,1,1.18480705796199e-06
1170,2,2.36961411592399e-06
1180,2,2.36961411592399e-06
1200,2,2.36961411592399e-06
1210,1,1.18480705796199e-06
1220,1,1.18480705796199e-06
1224,1,1.18480705796199e-06
1230,1,1.18480705796199e-06
1240,1,1.18480705796199e-06
1260,2,2.36961411592399e-06
1290,1,1.18480705796199e-06
1340,1,1.18480705796199e-06
1350,1,1.18480705796199e-06
1370,1,1.18480705796199e-06
1400,1,1.18480705796199e-06
1420,1,1.18480705796199e-06
1494,1,1.18480705796199e-06
1700,1,1.18480705796199e-06
2514,1,1.18480705796199e-06
2627,2,2.36961411592399e-06
