zipcode,n,percent
70791,18874,0.0223620484119747
33549,28582,0.0338641553306697
93307,56045,0.0664025115634799
17111,21257,0.0251854436310981
03867,11569,0.0137070328535623
68521,19950,0.0236369008063418
28697,27971,0.0331402382182549
76244,64559,0.0764899588549683
28205,25668,0.0304116275637685
29505,23137,0.0274128809000666
85705,36332,0.0430464100298752
17870,12470,0.0147745440127861
15005,10240,0.0121324242735308
92801,88905,0.105335271488111
89117,23073,0.0273370532483571
77095,50929,0.0603410386549464
79938,59744,0.0707851128708813
38852,9019,0.0106857748557592
30728,20746,0.0245800072244795
20166,66996,0.0793773336552217
21043,21836,0.0258714469176581
21701,15977,0.0189296623650588
75093,33907,0.0401732529143173
80016,12800,0.0151655303419135
97006,16940,0.0200706315618762
91320,12473,0.0147780984339599
93003,21084,0.0249804720100707
07457,20818,0.0246653133326528
78852,65469,0.0775681332777138
30349,29596,0.0350655496874432
76201,24832,0.0294211288633122
99212,14067,0.0166666808843514
30033,24354,0.0288547910896064
36582,16944,0.020075370790108
59102,18084,0.0214260508361847
84405,31393,0.0371946479706009
28270,29217,0.0346165078124756
60110,17348,0.0205540328415247
60090,19299,0.0228655914116085
79925,34649,0.0410523797513251
50208,10919,0.012936908265887
05829,5463,0.00647260095764637
47591,16806,0.0199118674161093
67207,29584,0.0350513320027476
75063,40064,0.0474681099701893
90280,51610,0.0611478922614185
34453,29733,0.035227868254384
33770,22106,0.0261913448233078
64735,14742,0.0174664256484757
79922,21268,0.0251984765087357
28262,45654,0.0540911814241968
33534,32006,0.0379209346971316
33898,35827,0.0424480824656043
36532,17635,0.0208940724671598
44024,7011,0.00830668228337154
38834,25906,0.0306936116435634
77477,40132,0.0475486768501307
34952,35107,0.0415950213838717
83318,17129,0.020294560095831
84737,16171,0.0191595149343034
97071,22342,0.0264709592889869
76262,28155,0.0333582427169199
78521,40724,0.0482500826284442
60008,17866,0.021167762897549
85251,19021,0.0225362150494951
32714,31097,0.0368439450814441
65738,16568,0.0196298833363143
60123,21431,0.0253916000591835
47403,17197,0.0203751269757724
37388,23561,0.0279152390926425
40403,15208,0.018018545737486
58075,5924,0.00701879701136685
34221,29012,0.0343736223655934
95219,23046,0.0273050634577921
54880,14004,0.0165920380396998
35121,18929,0.0224272128001626
32312,18584,0.0220184543651657
38133,58467,0.0692721142578639
46514,32269,0.0382325389533756
49022,13665,0.0161903884470506
31023,17926,0.0212388513210267
37321,17167,0.0203395827640335
33611,29522,0.034977873965154
08077,17576,0.02082416885074
31419,59840,0.0708988543484457
21901,18743,0.0222068386873816
04965,7877,0.00933272519556662
50125,15233,0.018048165913935
63430,8428,0.00998555388450368
40031,14144,0.0167579110278144
86001,20233,0.023972201203745
30066,21486,0.0254567644473714
07047,44778,0.0530532904414222
84120,44692,0.0529513970344374
33618,25640,0.0303784529661455
44074,9163,0.0108563870721057
77964,12339,0.014619334288193
78064,20381,0.0241475526483234
38804,24974,0.0295893714655428
77365,33751,0.0399884230132752
30223,41603,0.0492915280323928
46224,37317,0.0442134449819677
28226,29686,0.0351721823226597
34668,37859,0.0448556104073831
08724,28971,0.0343250452762169
77375,58315,0.0690920235850537
72956,21973,0.0260337654845989
92376,75140,0.0890264023352642
29611,50052,0.0593019628651137
92083,29913,0.0354411335248171
30253,27367,0.0324246147552459
60007,27672,0.0327859809079243
23602,21092,0.0249899504665344
33598,22067,0.0261451373480473
32707,32775,0.0388320513247043
75501,22344,0.0264733289031028
98311,11714,0.0138788298769668
36502,12358,0.0146418456222943
91942,44595,0.0528364707498151
73135,12141,0.0143847424907166
78102,25872,0.0306533282035927
27707,14655,0.017363347434433
93551,38972,0.0461743006628948
85204,34344,0.0406910135986467
47170,15786,0.018703364216988
38401,25632,0.0303689745096818
33615,20650,0.0244662657469152
38375,15120,0.0179142827163853
30538,22343,0.0264721440960448
61108,15525,0.01839412957486
30742,46377,0.0549477969271034
75216,3996,0.00473448900361613
20716,12595,0.0149226448950313
33027,33054,0.0391626124938757
36078,7591,0.00899387037698949
62221,18351,0.0217423943206605
46368,27657,0.0327682088020549
46975,9765,0.0115696409209989
31545,18837,0.0223182105508301
85260,33185,0.0393178222184688
78217,22423,0.0265669286606818
